week,monthName,fwi,danger
1,Jan,112.63,Extreme
2,Jan,113.75,Extreme
3,Jan,115.73,Extreme
4,Jan,112.48,Extreme
5,Feb,125.5,Extreme
6,Feb,128.72,Extreme
7,Feb,117.58,Extreme
8,Feb,114.49,Extreme
9,Feb,137.12,Extreme
10,Mar,116.8,Extreme
11,Mar,116.91,Extreme
12,Mar,112.23,Extreme
13,Mar,116.02,Extreme
14,Apr,107.57,Extreme
15,Apr,126.31,Extreme
16,Apr,108.49,Extreme
17,Apr,97.5,Extreme
18,May,101.98,Extreme
19,May,111.52,Extreme
20,May,108.65,Extreme
21,May,104.32,Extreme
22,May,110.46,Extreme
23,Jun,108.08,Extreme
24,Jun,101.29,Extreme
25,Jun,111.57,Extreme
26,Jun,101.41,Extreme
27,Jul,85,Extreme
28,Jul,83.09,Extreme
29,Jul,73.66,Extreme
30,Jul,70.93,Extreme
31,Aug,74.43,Extreme
32,Aug,67.64,Extreme
33,Aug,66.92,Extreme
34,Aug,58.11,Extreme
35,Aug,57.06,Extreme
36,Sep,55.25,Extreme
37,Sep,57.76,Extreme
38,Sep,81.09,Extreme
39,Sep,77.94,Extreme
40,Oct,98.98,Extreme
41,Oct,99.78,Extreme
42,Oct,97.06,Extreme
43,Oct,99.33,Extreme
44,Nov,102.81,Extreme
45,Nov,103.56,Extreme
46,Nov,103.39,Extreme
47,Nov,99.19,Extreme
48,Dec,97.66,Extreme
49,Dec,109.36,Extreme
50,Dec,107.11,Extreme
51,Dec,106.96,Extreme
52,Dec,105.08,Extreme
53,Dec,93.61,Extreme
