ageBracket,sex,count,percentage,yearName
0-4,female,81135.1,6.0312148,2021
0-4,male,84357.53,6.2707552,2021
10-14,female,61525.84,4.5735511,2021
10-14,male,55590.87,4.1323726,2021
15-19,female,70229.9,5.2205714,2021
15-19,male,63455.31,4.716979,2021
20-24,female,81528.87,6.0604857,2021
20-24,male,78565.25,5.8401831,2021
25-29,female,75708.04,5.6277918,2021
25-29,male,72956,5.4232177,2021
30-34,female,61386.11,4.5631643,2021
30-34,male,59154.68,4.3972902,2021
35-39,female,47467.39,3.5285101,2021
35-39,male,45741.92,3.4002464,2021
40-44,female,38337.81,2.8498585,2021
40-44,male,36944.2,2.746264,2021
45-49,female,32827.2,2.4402245,2021
45-49,male,31392.36,2.3335655,2021
5-9,female,73314.98,5.4499023,2021
5-9,male,66242.79,4.924188,2021
50-54,female,22093.96,1.6423642,2021
50-54,male,21128.26,1.5705787,2021
55-59,female,17674.98,1.3138776,2021
55-59,male,16902.43,1.2564497,2021
60-64,female,10198.44,0.7581056,2021
60-64,male,9752.68,0.7249698,2021
65-69,female,8051.1,0.5984819,2021
65-69,male,7699.19,0.572323,2021
70-74,female,4096.77,0.3045354,2021
70-74,male,3917.71,0.2912245,2021
75-79,female,1991.26,0.1480211,2021
75-79,male,1904.22,0.1415513,2021
80+,female,1012.1,0.0752347,2021
80+,male,967.86,0.0719463,2021
