yearName,population,populationGrowthPercentage
2015,1060742.1502126604,NA
2016,1093305.9243290909,3.07
2017,1126428.991172703,3.03
2018,1160215.943155446,2.999
2019,1194888.3788108963,2.988
2020,1230105.2387581067,2.947
2021,1265865.4455723688,2.907
2022,1301996.3566691112,2.854
2023,1340460.1869965978,2.954
2024,1379382.3969988376,2.904
2025,1417792.2422592384,2.785
2026,1456086.2012241129,2.701
2027,1494632.7705679666,2.647
2028,1533411.719569264,2.595
2029,1572532.5974256543,2.551
2030,1612203.6858550725,2.523
