year,yearName,pu
1,1985,7.92
2,1986,7.92
3,1987,9.39
4,1988,10.72
5,1989,11.73
6,1990,13.84
7,1991,13.87
8,1992,13.88
9,1993,13.91
10,1994,14.37
11,1995,14.51
12,1996,14.54
13,1997,14.56
14,1998,17.35
15,1999,18.23
16,2000,20.43
17,2001,26.2
18,2002,26.35
19,2003,26.53
20,2004,26.81
21,2005,27.17
22,2006,27.76
23,2007,28.06
24,2008,28.6
25,2009,28.94
26,2010,29.24
27,2011,29.78
28,2012,31.65
29,2013,32.35
30,2014,32.71
31,2015,33.09
32,2016,40.03
33,2017,40.93
34,2018,41.82
35,2019,42.52
36,2020,43.25
37,2021,44.09
38,2022,44.77
39,2023,45.03
40,2024,45.2
41,2025,45.3
