year,yearName,0.1-1%,1-10%,>10%,total
1,1985,5.66,2.26,0,7.92
2,1986,5.66,2.26,0,7.92
3,1987,6.48,2.9,0,9.39
4,1988,7.2,3.51,0,10.72
5,1989,7.61,4.11,0.01,11.73
6,1990,8.76,5.07,0.01,13.84
7,1991,8.78,5.08,0.01,13.87
8,1992,8.78,5.08,0.01,13.88
9,1993,8.8,5.09,0.01,13.91
10,1994,9.09,5.26,0.01,14.37
11,1995,9.18,5.32,0.01,14.51
12,1996,9.2,5.34,0.01,14.54
13,1997,9.21,5.34,0.01,14.56
14,1998,10.99,6.35,0.01,17.35
15,1999,11.54,6.67,0.01,18.23
16,2000,12.88,7.53,0.02,20.43
17,2001,16.09,10.07,0.04,26.2
18,2002,16.19,10.12,0.04,26.35
19,2003,16.29,10.2,0.04,26.53
20,2004,16.5,10.27,0.04,26.81
21,2005,16.72,10.41,0.04,27.17
22,2006,17.02,10.7,0.04,27.76
23,2007,17.23,10.79,0.04,28.06
24,2008,17.57,10.99,0.04,28.6
25,2009,17.77,11.13,0.04,28.94
26,2010,17.94,11.26,0.04,29.24
27,2011,18.23,11.5,0.05,29.78
28,2012,19.32,12.28,0.05,31.65
29,2013,19.72,12.57,0.06,32.35
30,2014,19.92,12.72,0.07,32.71
31,2015,20.11,12.91,0.07,33.09
32,2016,23.9,15.96,0.17,40.03
33,2017,24.42,16.33,0.18,40.93
34,2018,24.9,16.71,0.21,41.82
35,2019,25.28,17.02,0.22,42.52
36,2020,25.68,17.34,0.22,43.25
37,2021,26.17,17.68,0.24,44.09
38,2022,26.55,17.98,0.24,44.77
39,2023,26.71,18.08,0.25,45.03
40,2024,26.79,18.16,0.25,45.2
41,2025,26.85,18.2,0.25,45.3
