Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,25.78,7.92,30.73%
1986,25.78,7.92,30.73%
1987,29.38,9.39,31.94%
1988,32.71,10.72,32.76%
1989,35.37,11.73,33.16%
1990,40.91,13.84,33.83%
1991,41.06,13.87,33.77%
1992,41.13,13.88,33.74%
1993,41.21,13.91,33.75%
1994,42.4,14.37,33.88%
1995,43.24,14.51,33.56%
1996,43.42,14.54,33.50%
1997,43.52,14.56,33.46%
1998,51.86,17.35,33.46%
1999,54.82,18.23,33.25%
2000,62.87,20.43,32.49%
2001,80.57,26.2,32.51%
2002,81.49,26.35,32.34%
2003,82.03,26.53,32.34%
2004,82.74,26.81,32.40%
2005,84.32,27.17,32.22%
2006,86.39,27.76,32.13%
2007,87.93,28.06,31.91%
2008,90.39,28.6,31.64%
2009,92.13,28.94,31.42%
2010,92.94,29.24,31.46%
2011,96.75,29.78,30.78%
2012,103.24,31.65,30.66%
2013,105.4,32.35,30.70%
2014,106.6,32.71,30.68%
2015,107.64,33.09,30.74%
2016,130.35,40.03,30.71%
2017,133.18,40.93,30.73%
2018,135.85,41.82,30.78%
2019,137.99,42.52,30.81%
2020,140.25,43.25,30.84%
2021,142.85,44.09,30.87%
2022,145.3,44.77,30.81%
2023,146.31,45.03,30.78%
2024,146.77,45.2,30.80%
2025,147.1,45.3,30.80%
