year,yearName,uba,ubaGrowthPercentage
1,1985,28.6,NA
2,1986,28.6,0
3,1987,32.75,14.51
4,1988,36.49,11.42
5,1989,39.29,7.673
6,1990,45.39,15.526
7,1991,45.56,0.375
8,1992,45.63,0.154
9,1993,45.73,0.219
10,1994,47.13,3.061
11,1995,48.05,1.952
12,1996,48.24,0.395
13,1997,48.35,0.228
14,1998,57.59,19.111
15,1999,60.94,5.817
16,2000,69.54,14.112
17,2001,88.63,27.452
18,2002,89.67,1.173
19,2003,90.34,0.747
20,2004,91.13,0.874
21,2005,92.89,1.931
22,2006,95.3,2.594
23,2007,97.07,1.857
24,2008,99.87,2.885
25,2009,101.86,1.993
26,2010,102.95,1.07
27,2011,107.18,4.109
28,2012,114.81,7.119
29,2013,117.55,2.387
30,2014,119.18,1.387
31,2015,121.05,1.569
