yearMonth,year,month,monthYearName,uba,ubaGrowthPercentage
1,2016,7,Jul 2016,78.7339565703544,
2,2017,1,Jan 2017,79.8571954317406,1.43
3,2017,7,Jul 2017,81.0131980403032,1.45
4,2018,1,Jan 2018,82.0207728170171,1.24
5,2018,7,Jul 2018,83.0968965255509,1.31
6,2019,1,Jan 2019,83.9460228297358,1.02
7,2019,7,Jul 2019,84.8727500307465,1.1
8,2020,1,Jan 2020,85.67874682161,0.95
9,2020,7,Jul 2020,86.7017719112941,1.19
10,2021,1,Jan 2021,87.765367610275,1.23
11,2021,7,Jul 2021,88.6495326356787,1.01
12,2022,1,Jan 2022,89.2338701597807,0.66
13,2022,7,Jul 2022,90.4248157877253,1.33
14,2023,1,Jan 2023,90.8505280899925,0.47
15,2023,7,Jul 2023,91.1369737984935,0.31
16,2024,1,Jan 2024,91.351375463608,0.24
17,2024,7,Jul 2024,91.4799476536035,0.14
18,2025,1,Jan 2025,91.5984993547225,0.13
19,2025,7,Jul 2025,91.7784072645782,0.2
