year,yearName,uba,ubaGrowthPercentage
1,1985,25.79,NA
2,1986,25.79,0
3,1987,29.37,13.881
4,1988,32.72,11.406
5,1989,35.38,8.13
6,1990,40.93,15.687
7,1991,41.08,0.366
8,1992,41.14,0.146
9,1993,41.23,0.219
10,1994,42.41,2.862
11,1995,43.25,1.981
12,1996,43.43,0.416
13,1997,43.53,0.23
14,1998,51.82,19.044
15,1999,54.8,5.751
16,2000,62.86,14.708
17,2001,80.61,28.237
18,2002,81.54,1.154
19,2003,82.09,0.675
20,2004,82.8,0.865
21,2005,84.39,1.92
22,2006,86.46,2.453
23,2007,87.99,1.77
24,2008,90.45,2.796
25,2009,92.2,1.935
26,2010,93.01,0.879
27,2011,96.8,4.075
28,2012,103.31,6.725
29,2013,105.5,2.12
30,2014,106.71,1.147
31,2015,107.76,0.984
32,2016,130.45,21.056
33,2017,133.29,2.177
34,2018,135.94,1.988
35,2019,138.09,1.582
36,2020,140.36,1.644
37,2021,142.96,1.852
38,2022,145.4,1.707
39,2023,146.41,0.695
40,2024,146.87,0.314
41,2025,147.2,0.225
