year,cumulative_sq_km,source,growth_percentage
1985,28.65427468408622,WSF Evolution,NA
1986,28.65427468408622,WSF Evolution,0
1987,32.839244299041916,WSF Evolution,14.605
1988,36.58180140988322,WSF Evolution,11.397
1989,39.417938636570305,WSF Evolution,7.753
1990,45.51744825538791,WSF Evolution,15.474
1991,45.68252687193821,WSF Evolution,0.363
1992,45.75145083112113,WSF Evolution,0.151
1993,45.859518672885265,WSF Evolution,0.236
1994,47.27293004512711,WSF Evolution,3.082
1995,48.192760591938395,WSF Evolution,1.946
1996,48.379970160990645,WSF Evolution,0.388
1997,48.48888972814292,WSF Evolution,0.225
1998,57.67504506561981,WSF Evolution,18.945
1999,61.02016031628714,WSF Evolution,5.8
2000,69.65093952276298,WSF Evolution,14.144
2001,88.81397742954934,WSF Evolution,27.513
2002,89.85893837325614,WSF Evolution,1.177
2003,90.54141665226696,WSF Evolution,0.759
2004,91.34635906567372,WSF Evolution,0.889
2005,93.10860934531925,WSF Evolution,1.929
2006,95.51666730581685,WSF Evolution,2.586
2007,97.2976443389006,WSF Evolution,1.865
2008,100.07006534806673,WSF Evolution,2.849
2009,102.06046815082273,WSF Evolution,1.989
2010,103.1334646926169,WSF Evolution,1.051
2011,107.31300138096842,WSF Evolution,4.053
2012,114.92252566455818,WSF Evolution,7.091
2013,117.63653370750865,WSF Evolution,2.362
2014,119.24668567320403,WSF Evolution,1.369
2015,121.11190703472599,WSF Evolution,1.564
1985,25.79000410037042,WSF Evolution (masked),NA
1986,25.79000410037042,WSF Evolution (masked),0
1987,29.371675187026604,WSF Evolution (masked),13.888
1988,32.72360429876334,WSF Evolution (masked),11.412
1989,35.38019771498183,WSF Evolution (masked),8.118
1990,40.92745781626542,WSF Evolution (masked),15.679
1991,41.07892106394339,WSF Evolution (masked),0.37
1992,41.14359080376148,WSF Evolution (masked),0.157
1993,41.23038403538016,WSF Evolution (masked),0.211
1994,42.41486145997546,WSF Evolution (masked),2.873
1995,43.25214753672746,WSF Evolution (masked),1.974
1996,43.42829358199365,WSF Evolution (masked),0.407
1997,43.52870283618107,WSF Evolution (masked),0.231
1998,51.81540680717222,WSF Evolution (masked),19.037
1999,54.803940758235655,WSF Evolution (masked),5.768
2000,62.862019581336234,WSF Evolution (masked),14.703
2001,80.6130867396818,WSF Evolution (masked),28.238
2002,81.54314402697669,WSF Evolution (masked),1.154
2003,82.09285703091926,WSF Evolution (masked),0.674
2004,82.80164637621463,WSF Evolution (masked),0.863
2005,84.38944808549086,WSF Evolution (masked),1.918
2006,86.45884220383617,WSF Evolution (masked),2.452
2007,87.98964556348304,WSF Evolution (masked),1.771
2008,90.4472065986939,WSF Evolution (masked),2.793
2009,92.19594196116367,WSF Evolution (masked),1.933
2010,93.01025500427154,WSF Evolution (masked),0.883
2011,96.79829767693708,WSF Evolution (masked),4.073
2012,103.30993852173374,WSF Evolution (masked),6.727
2013,105.49630659805382,WSF Evolution (masked),2.116
2014,106.70649563871878,WSF Evolution (masked),1.147
2015,107.75913825526659,WSF Evolution (masked),0.986
2016,130.45366713398624,WSF Tracker,NA
2017,133.2863673619581,WSF Tracker,2.171
2018,135.9446179779715,WSF Tracker,1.994
2019,138.09146766221642,WSF Tracker,1.579
2020,140.36331184786334,WSF Tracker,1.645
2021,142.96358930876573,WSF Tracker,1.853
2022,145.39873683734234,WSF Tracker,1.703
2023,146.40697764958784,WSF Tracker,0.693
2024,146.8664185854362,WSF Tracker,0.314
2025,147.19909030410534,WSF Tracker,0.227
